0,1,380,74,10,15,1,-1,-1,-1
0,2,404,74,19,18,1,-1,-1,-1
0,3,376,127,37,28,1,-1,-1,-1
0,4,402,271,71,66,1,-1,-1,-1
1,1,381,72,10,16,1,-1,-1,-1
1,2,404,74,19,17,1,-1,-1,-1
1,3,377,125,36,28,1,-1,-1,-1
1,4,404,263,69,63,1,-1,-1,-1
2,1,382,72,10,15,1,-1,-1,-1
2,2,404,73,20,17,1,-1,-1,-1
2,3,378,123,36,27,1,-1,-1,-1
2,4,406,254,68,62,1,-1,-1,-1
3,1,383,70,10,16,1,-1,-1,-1
3,2,405,72,19,17,1,-1,-1,-1
3,3,380,121,35,27,1,-1,-1,-1
3,4,408,246,66,60,1,-1,-1,-1
4,1,384,70,10,14,1,-1,-1,-1
4,2,405,71,19,17,1,-1,-1,-1
4,3,381,119,35,27,1,-1,-1,-1
4,4,410,238,64,58,1,-1,-1,-1
5,1,384,68,10,15,1,-1,-1,-1
5,2,406,70,19,18,1,-1,-1,-1
5,3,382,117,34,26,1,-1,-1,-1
5,4,411,231,63,57,1,-1,-1,-1
6,1,386,68,10,14,1,-1,-1,-1
6,2,406,70,19,17,1,-1,-1,-1
6,3,383,115,34,26,1,-1,-1,-1
6,4,413,225,61,56,1,-1,-1,-1
7,1,386,66,10,15,1,-1,-1,-1
7,2,406,69,20,17,1,-1,-1,-1
7,3,384,113,34,25,1,-1,-1,-1
7,4,414,219,60,54,1,-1,-1,-1
7,5,10,317,154,103,1,-1,-1,-1
8,1,387,66,10,14,1,-1,-1,-1
8,2,406,68,20,17,1,-1,-1,-1
8,3,386,111,32,25,1,-1,-1,-1
8,4,416,213,58,52,1,-1,-1,-1
8,5,24,308,149,98,1,-1,-1,-1
9,1,388,64,10,14,1,-1,-1,-1
9,2,407,67,19,17,1,-1,-1,-1
9,3,387,110,31,24,1,-1,-1,-1
9,4,418,207,56,50,1,-1,-1,-1
9,5,39,299,143,94,1,-1,-1,-1
10,1,389,64,10,13,1,-1,-1,-1
10,2,407,66,19,18,1,-1,-1,-1
10,3,388,108,31,24,1,-1,-1,-1
10,4,419,201,56,49,1,-1,-1,-1
10,5,53,290,137,90,1,-1,-1,-1
11,1,390,63,10,13,1,-1,-1,-1
11,2,407,66,20,17,1,-1,-1,-1
11,3,389,106,30,25,1,-1,-1,-1
11,4,420,197,55,47,1,-1,-1,-1
11,5,68,282,132,84,1,-1,-1,-1
12,1,391,62,10,13,1,-1,-1,-1
12,2,408,65,19,17,1,-1,-1,-1
12,3,390,105,29,24,1,-1,-1,-1
12,4,422,193,53,46,1,-1,-1,-1
12,5,79,275,128,81,1,-1,-1,-1
13,1,392,62,10,13,1,-1,-1,-1
13,2,408,64,20,17,1,-1,-1,-1
13,3,390,104,30,23,1,-1,-1,-1
13,4,423,188,52,46,1,-1,-1,-1
13,5,91,268,124,78,1,-1,-1,-1
14,1,392,61,10,13,1,-1,-1,-1
14,2,408,63,20,17,1,-1,-1,-1
